molecule_chembl_id,canonical_smiles,standard_value
CHEMBL361923,CCOc1ccccc1-c1cc(F)cc(-n2nnc(-c3ccccn3)n2)c1,451.0
CHEMBL187091,Cc1cccc(C)c1-c1cc(F)cc(-n2nnc(-c3ccccn3)n2)c1,875.0
CHEMBL187417,Fc1cc(-c2ccccc2-c2ccccc2)cc(-n2nnc(-c3ccccn3)n2)c1,1000.0
CHEMBL187470,CCc1ccccc1-c1cc(F)cc(-n2nnc(-c3ccccn3)n2)c1,3000.0
CHEMBL435503,Fc1cccc(-c2cc(F)cc(-n3nnc(-c4ccccn4)n3)c2)c1,217.0
CHEMBL187075,COC(=O)c1cccc(-c2cc(F)cc(-n3nnc(-c4ccccn4)n3)c2)c1,318.0
CHEMBL362372,Fc1cc(-c2cccc(Cl)c2)cc(-n2nnc(-c3ccccn3)n2)c1,824.0
CHEMBL363898,Cc1cccc(-c2cc(F)cc(-n3nnc(-c4ccccn4)n3)c2)c1,3000.0
CHEMBL186581,Fc1ccc(-c2cc(F)cc(-n3nnc(-c4ccccn4)n3)c2)cc1,335.0
CHEMBL184337,Cc1ccc(-c2cc(F)cc(-n3nnc(-c4ccccn4)n3)c2)cc1,1467.0
CHEMBL361917,Fc1cc(-c2ccc(Cl)cc2)cc(-n2nnc(-c3ccccn3)n2)c1,2059.0
CHEMBL186133,c1ccc(-c2nnn(-c3cccc(-c4cccnc4)c3)n2)nc1,63.0
CHEMBL187246,Cc1noc(C)c1-c1cccc(-n2nnc(-c3ccccn3)n2)c1,251.0
CHEMBL186660,COc1ncc(-c2cccc(-n3nnc(-c4ccccn4)n3)c2)cn1,309.0
CHEMBL187019,c1ccc(-c2cc(-c3cccc(-n4nnc(-c5ccccn5)n4)c3)on2)cc1,882.0
CHEMBL186507,c1ccc(-c2nnn(-c3cccc(-c4ccco4)c3)n2)nc1,3000.0
CHEMBL186573,c1ccc(-c2nnn(-c3cccc(-c4ccncc4)c3)n2)nc1,2102.0
CHEMBL365200,Cc1noc(C)c1-c1cc(F)cc(-n2nnc(-c3ccccn3)n2)c1,28.0
CHEMBL365083,Fc1cc(-c2cccnc2)cc(-n2nnc(-c3ccccn3)n2)c1,54.0
CHEMBL365884,Fc1cc(-c2conc2-c2ccccc2)cc(-n2nnc(-c3ccccn3)n2)c1,75.0
CHEMBL184519,COc1ncc(-c2cc(F)cc(-n3nnc(-c4ccccn4)n3)c2)cn1,94.0
CHEMBL365682,Fc1cc(-c2cncnc2)cc(-n2nnc(-c3ccccn3)n2)c1,201.0
CHEMBL186864,Fc1cc(-c2ccco2)cc(-n2nnc(-c3ccccn3)n2)c1,575.0
CHEMBL187746,Fc1cc(-c2ccncc2)cc(-n2nnc(-c3ccccn3)n2)c1,806.0
